run,h2d_ms,kernel_ms,d2h_ms,e2e_ms
1,0.591886000,3.974819000,0.453470000,5.020175000
2,0.622392000,3.972443000,0.470481000,5.065316000
3,0.616085000,3.975724000,0.472422000,5.064231000
4,0.630405000,3.974514000,0.489585000,5.094504000
5,0.630788000,3.974774000,0.489953000,5.095515000
6,0.658272000,3.976983000,0.563752000,5.199007000
7,0.645479000,3.990473000,0.502418000,5.138370000
8,0.642494000,4.004815000,0.493398000,5.140707000
9,0.638647000,4.089277000,0.512024000,5.239948000
10,0.665499000,3.960921000,0.617617000,5.244037000
