run,h2d_ms,kernel_ms,d2h_ms,e2e_ms
1,0.669375000,509.903364000,0.436047000,511.008786000
2,0.665470000,509.954568000,0.437165000,511.057203000
3,0.667289000,509.937429000,0.434691000,511.039409000
4,0.674072000,509.929300000,0.438981000,511.042353000
5,0.664685000,509.942809000,0.436305000,511.043799000
6,0.670583000,509.893796000,0.437888000,511.002267000
7,0.669439000,509.942398000,0.439698000,511.051535000
8,0.667291000,509.945798000,0.435512000,511.048601000
9,0.665604000,509.945094000,0.440802000,511.051500000
10,0.669702000,509.884662000,0.440967000,510.995331000
